"","V1","V2","V3"
"108",6.08401666666667,50.77805,-77.7761884526046
"109",6.08403333333333,50.7780666666667,-79.0397170998592
"110",6.08405,50.7780833333333,-77.2321494090408
"111",6.08406666666667,50.7780833333333,-78.2765449400526
"112",6.0841,50.7781,-79.8700890996423
"113",6.08411666666667,50.7781166666667,-82.0658142524631
"114",6.08413333333333,50.7781333333333,-82.5927035330148
"115",6.08416666666667,50.7781333333333,-82.5385372707602
"116",6.08418333333333,50.77815,-82.3765073623302
"117",6.0842,50.77815,-82.1866318381273
"118",6.08423333333333,50.7781666666667,-81.5113144951417
"119",6.08425,50.7781833333333,-84.2344913335847
"120",6.08428333333333,50.7781833333333,-82.6379947386851
"121",6.0843,50.7782,-83.6567400805132
"122",6.08431666666667,50.7782166666667,-85.5322132314423
